--2022-06-03 13:05:33--  http://10.1.0.1/random
Connecting to 10.1.0.1:80... connected.
HTTP request sent, awaiting response... 200 OK
Length: 10485760 (10M) [application/octet-stream]
Saving to: ‘random.1’

  9300K .......... .......... .......... .......... .......... 91% 2.37M 0s
  9350K .......... .......... .......... .......... .......... 91% 1.81M 0s
  9400K .......... .......... .......... .......... .......... 92% 2.80M 0s
  9450K .......... .......... .......... .......... .......... 92% 2.26M 0s
  9500K .......... .......... .......... .......... .......... 93% 1.81M 0s
  9550K .......... .......... .......... .......... .......... 93% 2.57M 0s
  9600K .......... .......... .......... .......... .......... 94% 2.29M 0s
  9650K .......... .......... .......... .......... .......... 94% 2.21M 0s
  9700K .......... .......... .......... .......... .......... 95% 2.19M 0s
  9750K .......... .......... .......... .......... .......... 95% 2.13M 0s
  9800K .......... .......... .......... .......... .......... 96% 2.14M 0s
  9850K .......... .......... .......... .......... .......... 96% 1.94M 0s
  9900K .......... .......... .......... .......... .......... 97% 2.77M 0s
  9950K .......... .......... .......... .......... .......... 97% 1.79M 0s
 10000K .......... .......... .......... .......... .......... 98% 2.78M 0s
 10050K .......... .......... .......... .......... .......... 98% 2.21M 0s
 10100K .......... .......... .......... .......... .......... 99% 2.25M 0s
 10150K .......... .......... .......... .......... .......... 99% 2.31M 0s
 10200K .......... .......... .......... ..........           100% 2.27M=4.6s

2022-06-03 13:05:38 (2.20 MB/s) - ‘random.1’ saved [10485760/10485760]


real	0m4.622s
user	0m0.156s
sys	0m0.310s
